Wanda De Jesus	{'F'}
Natasha Henstridge	{'F'}
Ice Cube	{'M'}
Jason Statham	{'M'}
Clea DuVall	{'F'}
Pam Grier	{'F'}
Joanna Cassidy	{'F'}
Richard Cetrone	{'M'}
Liam Waite	{'M'}
Duane Davis	{'M'}
Lobo Sebastian	{'M'}
Rodney A. Grant	{'M'}
Peter Jason	{'M'}
Rick Edelstein	{'M'}
Doug McGrath	{'M'}
Robert Carradine	{'M'}
Rosemary Forsyth	{'F'}
Allen Cutler	{'M'}
Alice Barrett	{'F'}
Rod Britt	{'M'}
Hildy Brooks	{'F'}
Robert Catrini	{'M'}
Cliff DeYoung	{'M'}
Gary Dubin	{'M'}
Judi Evans	{'F'}
Julia Granstrom	{'F'}
Brad Greenquist	{'M'}
Albert Hall	{'M'}
Brad Heller	{'M'}
Jeff Juday	{'M'}
Chris Krisea	{'M'}
J. Patrick McCormack	{'M'}
Frank Krog	{'M'}
Kristin Kajander	{'F'}
Vidar Sandem	{'M'}
Anne Krigsvoll	{'F'}
Gudrun Landgrebe	{'F'}
Mathieu Carrière	{'M'}
Hanns Zischler	{'M'}
Hector Elias	{'M'}
John Hawkes	{'M'}
Miranda July	{'F'}
Miles Thompson	{'M'}
Brandon Ratcliff	{'M'}
Carlie Westerman	{'F'}
Brad William Henke	{'M'}
Natasha Slayton	{'F'}
Najarra Townsend	{'F'}
Tracy Wright	{'F'}
Ellen Geer	{'F'}
JoNell Kennedy	{'M'}
Colette Kilroy	{'F'}
Amy French	{'F'}
Dian Bachar	{'M'}
Seth Green	{'M'}
Matt Stone	{'M'}
Kyle McCulloch	{'M'}
Les Claypool	{'M'}
Arj Barker	{'M'}
Sirena Irwin	{'F'}
Sam Maccarone	{'M'}
Bob Weir	{'M'}
Ruth Chatterton	{'F'}
Fredric March	{'M'}
Juzo Itami	{'M'}
Meiko Kaji	{'F'}
Yoshio Harada	{'M'}
Kazuko Yoshiyuki	{'F'}
Shin Kishida	{'M'}
Müjde Ar	{'F'}
Erwin Geschonneck	{'M'}
ZaSu Pitts	{'F'}
Florence Rice	{'F'}
Melvyn Douglas	{'M'}
John Lurie	{'M'}
Asia Argento	{'F'}
Christopher Walken	{'M'}
Willem Dafoe	{'M'}
Yoshitaka Amano	{'M'}
Annabella Sciorra	{'F'}
Gretchen Mol	{'F'}
Mikhail Zharov	{'M'}
Vladimir Uralsky	{'M'}
Ekaterina Zelyonaya	{'F'}
Georgiy Zhzhonov	{'M'}
Nikolai Batalov	{'M'}
Graham McNamee	{'M'}
Peppino De Filippo	{'M'}
Taraji P. Henson	{'F'}
Tyrese Gibson	{'M'}
Anthony Johnson	{'M'}
Sheila L. Ward	{'F'}
Kym Whitley	{'F'}
Amentha Dymally	{'F'}
Limary Agosto	{'F'}
Alex Wright	{'M'}
Tawny Dahl	{'F'}
Snoop Dogg	{'M'}
Frederick Ricks	{'M'}
Keith Diamond	{'M'}
Mario William Jackson	{'M'}
Liris Crosse	{'F'}
Juanita Jennings	{'F'}
Mo'Nique Imes-Jackson	{'F'}
Freez Luv	{'M'}
Tracey Cherelle Jones	{'F'}
Kareem Grimes	{'M'}
Angell Conwell	{'F'}
Ving Rhames	{'M'}
Adrienne-Joi Johnson	{'F'}
Omar Gooding	{'M'}
Girija	{'F'}
Mohanlal	{'M'}
Jagadish	{'M'}
Sukumari	{'F'}
Mukesh	{'M'}
Cochin Haneefa	{'M'}
Manianpilla Raju	{'M'}
M. G. Soman	{'M'}
Nedumudi Venu	{'M'}
Ruby Lin	{'F'}
Zhang Ziyi	{'F'}
Fan Bing-Bing	{'F'}
So Ji-sub	{'M'}
Ji Wang	{'F'}
Peter Ho	{'M'}
Eric Bogosian	{'M'}
Kevin O'Connor	{'M'}
Brad Rijn	{'M'}
Zoë Tamerlis Lund	{'F'}
Shafi Inamdar	{'M'}
Smita Patil	{'F'}
Rajesh Khanna	{'M'}
Satish Shah	{'M'}
Tanuja Samarth	{'F'}
Beena	{'F'}
Karan Shah	{'M'}
Saikumar	{'M'}
Vijayaraghavan	{'M'}
Karthika Mathew	{'F'}
Antonio Banderas	{'M'}
Victoria Abril	{'F'}
Guillermo Montesinos	{'M'}
Javier Gurruchaga	{'M'}
Maria Botto	{'F'}
Jorge Sanz	{'M'}
Brian O'Shaughnessy	{'M'}
Ken Gampu	{'M'}
Jamie Uys	{'M'}
Sandra Prinsloo	{'F'}
Paddy O'Byrne	{'M'}
Marius Weyers	{'M'}
N!xau	{'M'}
John5	{'M'}
Wallace Reid	{'M'}
Tully Marshall	{'M'}
Hobart Bosworth	{'M'}
James Neill	{'M'}
Theodore Roberts	{'M'}
Horace B. Carpenter	{'M'}
Geraldine Farrar	{'F'}
Raymond Hatton	{'M'}
Perry Lopez	{'M'}
Charles Bronson	{'M'}
Bill McKinney	{'M'}
Peggy Lipton	{'F'}
Juan Fernández	{'M'}
James Pax	{'M'}
Sy Richardson	{'M'}
Nicole Eggert	{'F'}
Amy Hathaway	{'F'}
Amar	{'M'}
Reena Roy	{'F'}
Jeetendra	{'M'}
Martin Sperr	{'M'}
Robert Lloyd	{'M'}
Edith Clever	{'F'}
Wolfgang Schöne	{'M'}
Reiner Goldberg	{'M'}
Yvonne Minton	{'F'}
Armin Jordan	{'M'}
Teddy Pendergrass	{'M'}
Saul Rubinek	{'M'}
Marcia Strassman	{'F'}
Richard Libertini	{'M'}
Gerrit Graham	{'M'}
Christine Baranski	{'F'}
Vic Tayback	{'M'}
Patrick Dempsey	{'M'}
Kate Jackson	{'F'}
Robert Ginty	{'M'}
Nancy Valen	{'F'}
Dylan Walsh	{'M'}
Barbara Carrera	{'F'}
Bernie Coulson	{'M'}
Ray Girardin	{'M'}
Kim Miyori	{'F'}
Robert Picardo	{'M'}
Kirstie Alley	{'F'}
Pete Koch	{'M'}
Carrie Fisher	{'F'}
James Burke	{'M'}
James Gleason	{'M'}
Rita Hayworth	{'F'}
Larry Parks	{'M'}
Edward Everett Horton	{'M'}
William Frawley	{'M'}
Marc Platt	{'M'}
Roland Culver	{'M'}
Adele Jergens	{'F'}
George Macready	{'M'}
John Garfield	{'M'}
Bette Davis	{'F'}
Brian Aherne	{'M'}
Paul Muni	{'M'}
Aaron Pearl	{'M'}
Corbin Bernsen	{'M'}
Tara Reid	{'F'}
Michael Kopsa	{'M'}
Genevieve Buechner	{'F'}
Claire Rankin	{'F'}
Jessica Steen	{'F'}
Don S. Davis	{'M'}
Jonathan Scarfe	{'M'}
Mark Humphrey	{'M'}
Connor Christopher Levins	{'M'}
Stephen E. Miller	{'M'}
Clint Carleton	{'M'}
Burke Morgan	{'M'}
Michael Bowen	{'M'}
William Petersen	{'M'}
Jamie Lee Curtis	{'F'}
Alex English	{'M'}
Gregory Peck	{'M'}
Rudy Ray Moore	{'M'}
Howard Jackson	{'M'}
Benicio del Toro	{'M'}
Kevin Spacey	{'M'}
Dan Hedaya	{'M'}
Giancarlo Esposito	{'M'}
Pete Postlethwaite	{'M'}
Suzy Amis	{'F'}
Chazz Palminteri	{'M'}
Scott B. Morgan	{'M'}
Gabriel Byrne	{'M'}
Stephen Baldwin	{'M'}
Kevin Pollak	{'M'}
Charles Perley	{'M'}
Paul Hampton	{'M'}
Joe Silver	{'M'}
Lynn Lowry	{'F'}
Allan Kolman	{'M'}
Susan Petrie	{'F'}
Barbara Steele	{'F'}
Ronald Mlodzik	{'M'}
Barry Baldaro	{'M'}
Camil Ducharme	{'M'}
Hanka Posnanska	{'F'}
Wally Martin	{'M'}
Vlasta Vrana	{'M'}
Silvie Debois	{'F'}
Fred Doederlin	{'M'}
Ellen Corby	{'F'}
Edgar Buchanan	{'M'}
Charles Meredith	{'M'}
Roy Roberts	{'M'}
Patrice Wymore	{'F'}
Alan Hale, Jr.	{'M'}
