Wanda De Jesus	English
Natasha Henstridge	English
Ice Cube	English
Jason Statham	English
Clea DuVall	English
Pam Grier	English
Joanna Cassidy	English
Richard Cetrone	English
Liam Waite	English
Duane Davis	English
Lobo Sebastian	English
Rodney A. Grant	English
Peter Jason	English
Doug McGrath	English
Robert Carradine	English
Rosemary Forsyth	English
Allen Cutler	English
Alice Barrett	English
Rod Britt	English
Hildy Brooks	English
Robert Catrini	English
Cliff DeYoung	English
Gary Dubin	English
Judi Evans	English
Julia Granstrom	English
Brad Greenquist	English
Albert Hall	English
Brad Heller	English
Jeff Juday	English
Chris Krisea	English
J. Patrick McCormack	English
Frank Krog	Norwegian
Kristin Kajander	Norwegian
Vidar Sandem	Norwegian
Anne Krigsvoll	Norwegian
Gudrun Landgrebe	German
Mathieu Carrière	English
Hanns Zischler	German
Hector Elias	English
John Hawkes	English
Miranda July	English
Miles Thompson	English
Brandon Ratcliff	English
Carlie Westerman	English
Brad William Henke	English
Natasha Slayton	English
Najarra Townsend	English
Tracy Wright	English
Ellen Geer	English
JoNell Kennedy	English
James Kayten	English
Colette Kilroy	English
Amy French	English
Dian Bachar	English
Seth Green	English
Matt Stone	English
Kyle McCulloch	English
Les Claypool	English
Sirena Irwin	English
Bob Weir	English
Ruth Chatterton	English
Fredric March	English
Juzo Itami	Japanese
Meiko Kaji	Japanese
Yoshio Harada	Japanese
Kazuko Yoshiyuki	Japanese
Shin Kishida	Japanese
Müjde Ar	Turkish
Erwin Geschonneck	German
ZaSu Pitts	English
Florence Rice	English
Melvyn Douglas	English
John Lurie	English
Asia Argento	English
Christopher Walken	English
Willem Dafoe	English
Yoshitaka Amano	English
Annabella Sciorra	English
Gretchen Mol	English
Kimmy Suzuki	English
Mariya Gonfa	Russian
Yvan Kyrlya	Russian
Mikhail Dzhagofarov	Russian
Mikhail Zharov	Russian
Aleksandr Novikov	Russian
Mariya Andropova	Russian
Vladimir Vesnovsky	Russian
Bozhak Besprizornykh	Russian
Tsifan Kyriya	Russian
Viktor Lazarev	Russian
Vladimir Uralsky	Russian
Regina Yanushkevich	Russian
Ekaterina Zelyonaya	Russian
Georgiy Zhzhonov	Russian
Nikolai Batalov	Russian
Graham McNamee	English
Peppino De Filippo	Italian
Taraji P. Henson	English
Tyrese Gibson	English
AlexSandra Wright	English
Anthony Johnson	English
Jamaica Carter	English
Sheila L. Ward	English
Cleopatra Singleton	English
Kym Whitley	English
Amentha Dymally	English
Limary Agosto	English
Roma Alvarez	English
Deon Gregory	English
Dejuan Guy	English
Olan Thompson	English
Serese Teate	English
Alex Wright	English
Tawny Dahl	English
Asondra Hunter	English
Selma Mcpherson	English
Snoop Dogg	English
Frederick Ricks	English
Keith Diamond	English
Mario William Jackson	English
Liris Crosse	English
Juanita Jennings	English
Mo'Nique Imes-Jackson	English
Freez Luv	English
Kaylan Bolton	English
Kylan Bolton	English
Tracey Cherelle Jones	English
Kareem Grimes	English
Angell Conwell	English
Ving Rhames	English
Adrienne-Joi Johnson	English
Candy Brown Houston	English
Tamara LaSeon Bass	English
Omar Gooding	English
Girija	Telugu language
Mohanlal	Malayalam
Jagadish	Malayalam
Sukumari	Malayalam
Mukesh	Malayalam
Cochin Haneefa	Malayalam
Manianpilla Raju	Malayalam
M. G. Soman	Malayalam
Nedumudi Venu	Malayalam
Ai Wan	Standard Mandarin
Ruby Lin	Cantonese
Zhang Ziyi	Standard Mandarin
Fan Bing-Bing	Standard Mandarin
So Ji-sub	Korean
Ji Wang	Mandarin Chinese
Ji-seob So	Korean
Peter Ho	Japanese
Kitty Summerall	English
Eric Bogosian	English
Kevin O'Connor	English
Brad Rijn	English
Richard Greene	English
Zoë Tamerlis Lund	English
John Woehrle	English
Shafi Inamdar	Hindi
Smita Patil	Hindi
Rajesh Khanna	Hindi
Satish Shah	Hindi
Tanuja Samarth	Hindi
Beena	Hindi
Karan Shah	Hindi
Saikumar	Malayalam
Vijayaraghavan	Malayalam
Karthika Mathew	Malayalam
Antonio Banderas	English
Victoria Abril	Spanish
Guillermo Montesinos	Spanish
Javier Gurruchaga	Spanish
Maria Botto	Spanish
Jorge Sanz	Spanish
Nic De Jager	English
Michael Thys	English
Fanyana H. Sidumo	English
Brian O'Shaughnessy	English
Vera Blacker	English
Joe Seakatsie	English
Ken Gampu	English
Jamie Uys	English
Sandra Prinsloo	English
Paddy O'Byrne	English
Louw Verwey	English
Marius Weyers	English
N!xau	English
John5	English
Wallace Reid	English
Tully Marshall	English
Hobart Bosworth	English
James Neill	English
Theodore Roberts	English
Horace B. Carpenter	English
Geraldine Farrar	English
Raymond Hatton	English
Perry Lopez	English
Charles Bronson	English
Bill McKinney	English
Peggy Lipton	English
Juan Fernández	Spanish
James Pax	English
Sy Richardson	English
Nicole Eggert	English
Amy Hathaway	English
Amar	Hindi
Reena Roy	Hindi
Jeetendra	Hindi
Martin Sperr	German
Michael Kutter	German
Robert Lloyd	English
Edith Clever	German
Stephanie Corler	German
Karin Krick	German
Anahita Farroschad	German
Miriam Feldman	German
Wolfgang Schöne	German
Reiner Goldberg	German
Yvonne Minton	German
Armin Jordan	German
Teddy Pendergrass	English
Saul Rubinek	English
Marcia Strassman	English
Richard Libertini	English
Gerrit Graham	English
Christine Baranski	English
Vic Tayback	English
Patrick Dempsey	English
Kate Jackson	English
Robert Ginty	English
Nancy Valen	English
Dylan Walsh	English
Barbara Carrera	English
Bernie Coulson	English
Ray Girardin	English
Kim Miyori	English
Robert Picardo	English
Kirstie Alley	English
Pete Koch	English
Carrie Fisher	English
James Burke	English
James Gleason	English
Rita Hayworth	English
Larry Parks	English
Edward Everett Horton	English
William Frawley	English
Marc Platt	English
Roland Culver	English
Adele Jergens	English
George Macready	English
John Garfield	English
Bette Davis	English
Brian Aherne	English
Paul Muni	English
Aaron Pearl	English
Corbin Bernsen	English
Tara Reid	English
Michael Kopsa	English
Genevieve Buechner	English
Claire Rankin	English
Jessica Steen	English
Don S. Davis	English
Jonathan Scarfe	English
Mark Humphrey	English
Connor Christopher Levins	English
Stephen E. Miller	English
Clint Carleton	English
Michael Bowen	English
William Petersen	English
Jamie Lee Curtis	English
Alex English	English
Gregory Peck	English
Rudy Ray Moore	English
Glorya De Lani	English
Lady Reed	English
Howard Jackson	English
Benicio del Toro	English
Kevin Spacey	English
Dan Hedaya	English
Giancarlo Esposito	English
Pete Postlethwaite	English
Suzy Amis	English
Chazz Palminteri	English
Scott B. Morgan	Spanish
Gabriel Byrne	English
Stephen Baldwin	English
Kevin Pollak	English
Charles Perley	English
Paul Hampton	English
Joe Silver	English
Lynn Lowry	English
Allan Kolman	English
Susan Petrie	English
Barbara Steele	English
Ronald Mlodzik	English
Barry Baldaro	English
Camil Ducharme	English
Hanka Posnanska	English
Wally Martin	English
Vlasta Vrana	English
Silvie Debois	English
Fred Doederlin	English
Ellen Corby	English
Edgar Buchanan	English
Charles Meredith	English
Roy Roberts	English
Patrice Wymore	English
Alan Hale, Jr.	English
John Archer	English
Harry Cording	English
Eve Miller	English
Kirk Douglas	English
Mischa Barton	English
Rajpal Yadav	Hindi
Kal Penn	English
Tannishtha Chatterjee	English
Martin Sheen	English
Vineet Kumar	Hindi
Manoj Joshi	Hindi
Joy Sengupta	Hindi
Fagun Thakrar	English
Kiran Janjani	Hindi
Upasana Singh	Hindi
Arun Bakshi	Hindi
Lalitesh	Hindi
Ahsaas Channa	Hindi
Anil Nagrath	Hindi
Sheetal Shah	English
Isabelle Huppert	French
Harry Carey	English
Aman Jalali	Hindi
Prithvi	Hindi
Sudesh Berry	Hindi
Samyuktha Varma	Malayalam
Suresh Gopi	Malayalam
Kathryn Hays	English
Estelle Parsons	English
Alice Playten	English
Jane Connell	English
William Daniels	English
Nancy Marchand	English
Jane Hoffman	English
James Frawley	English
Judith Lowry	English
Elena Karam	English
Richard Hamilton	English
Leslie Howard	English
Cesar Romero	English
Kay Francis	English
William Gargan	English
J. Carrol Naish	English
Sharon Tate	English
Vittorio Gassman	Italian
Vittorio de Sica	Italian
Tim Brooke-Taylor	English
Terry-Thomas	English
Orson Welles	English
Brooke Webster	English
Guinevere Turner	English
V.S. Brodie	English
Jennifer Allen	English
Elspeth Kydd	English
Mimi Weddell	English
Walter Youngblood	English
Tracy Kimme	English
Danielia Falcon	English
Anastasia Sharp	English
T. Wendy McMillan	English
Arthur C. Stone	English
Mary Garvey	English
Migdalia Melendez	English
Shirley MacLaine	English
Christopher Plummer	English
Brenda Fricker	English
Gregory Smith	English
Layke Anderson	English
Neve Campbell	English
Stephen Amell	English
Allan Hawco	English
Martin McCann	English
Omar Epps	English
Joss Ackland	English
Jean-Claude La Marre	English
Sean Pertwee	English
Andrew Divoff	English
David Suchet	English
Chiwetel Ejiofor	English
Michael Byrne	English
Adewale Akinnuoye-Agbaje	English
Maxine Burth	English
Maria Maj	English
Julia Jentsch	German
Peter Gantzler	Danish
Maciej Stuhr	Polish
Andrzej Hudziak	Polish
Małgorzata Hajewska	English
Izabela Kuna	English
Rafal Mackowiak	English
Renata Dancewicz	English
Roman Gancarczyk	English
Andrzej Kuchno	English
Maria Mamona	English
Ewa Worytkiewicz	English
Boguslawa Schubert	English
Wojciech Michniewski	English
Lon Chaney, Sr.	English
Cleo Madison	English
Junko Miyashita	Japanese
Meika Seri	Japanese
Hatsuo Yamaya	Japanese
Gô Awazu	Japanese
Hideaki Esumi	Japanese
Tommy Wiseau	English
Tony Bill	English
Hal Fishman	English
Paul Moyer	English
Sydney Pollack	English
Bob Hoover	English
Nicholas Pryor	English
Stephen Collins	English
Janet Julian	English
Bo Svenson	English
Lance Henriksen	English
Victoria Racimo	English
Robert Hoy	English
Walter Robles	English
Kurt Woodruff	English
Mark Baer	English
Michael Flynn	English
Sherry Sailer	English
Alan Gregory	English
Michael Phenicie	English
Marc Di Nunzio	English
Benny Bartlett	English
Huntz Hall	English
David Gorcey	English
Leo Gorcey	English
Barry Corbin	English
Lou Diamond Phillips	English
Todd Bridges	English
Amy Locane	English
Steven Brand	English
John Forsythe	English
Al Pacino	English
Jack Warden	English
Lee Strasberg	English
Thomas G. Waites	English
Dominic Chianese	English
Larry Bryggman	English
Christine Lahti	English
Jeffrey Tambor	English
Craig T. Nelson	English
